PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
1315.0,30.0,1542.666667,795.3333333,1728.333333,1466.0,26.6,20.03333333,0.615133333
1313.8,31.02,1566.0,810.4,1702.2,1480.2,25.98,21.6,0.63802
1312.6,32.04,1589.333333,825.4666667,1676.066667,1494.4,25.36,23.16666667,0.660906667
1311.4,33.06,1612.666667,840.5333333,1649.933333,1508.6,24.74,24.73333333,0.683793333
1310.2,34.08,1636.0,855.6,1623.8,1522.8,24.12,26.3,0.70668
1309.0,35.1,1659.333333,870.6666667,1597.666667,1537.0,23.5,27.86666667,0.729566667
1307.8,36.12,1682.666667,885.7333333,1571.533333,1551.2,22.88,29.43333333,0.752453333
1306.6,37.14,1706.0,900.8,1545.4,1565.4,22.26,31.0,0.77534
1305.4,38.16,1729.333333,915.8666667,1519.266667,1579.6,21.64,32.56666667,0.798226667
1304.2,39.18,1752.666667,930.9333333,1493.133333,1593.8,21.02,34.13333333,0.821113333
1303.0,40.2,1776.0,946.0,1467.0,1608.0,20.4,35.7,0.844
1137.0,14.9,1146.0,1144.0,1392.0,1327.0,26.1,23.8,0.7938
1139.0,13.8,1109.0,1118.0,1436.0,1292.0,28.8,21.1,0.8193
1099.0,12.3,1059.0,1156.0,1416.0,1114.0,29.6,19.4,0.7897
1088.0,14.0,1116.0,1128.0,1449.0,1060.0,31.6,16.4,0.7489
1027.0,11.8,1041.0,1237.0,1345.0,915.0,32.3,13.3,0.6303
1014.0,12.0,1049.0,1200.0,1366.0,893.0,31.8,13.5,0.6249
969.0,9.7,968.0,1276.0,1325.0,768.0,31.8,13.8,0.6394
1120.0,18.0,1238.0,1023.0,1591.0,1126.0,31.0,15.9,0.7039
1131.0,22.6,1368.0,933.0,1707.0,1284.0,28.6,18.7,0.7216
1130.0,22.7,1368.0,933.0,1709.0,1269.0,26.7,19.5,0.6754
1123.0,20.3,1304.0,939.0,1720.0,1290.0,25.0,24.4,0.7616
1069.0,13.1,1086.0,1064.0,1536.0,1119.0,22.8,28.4,0.7804
1021.0,10.9,1010.0,1116.0,1480.0,1027.0,21.7,29.2,0.7458
1101.0,13.3,1093.0,1012.0,1564.0,1155.0,21.1,30.9,0.7617
1026.0,9.5,960.0,1072.0,1471.0,1078.0,19.9,36.3,0.8349
949.0,6.6,841.0,1155.0,1393.0,954.0,18.6,39.3,0.8355
846.0,3.6,687.0,1295.0,1288.0,726.0,18.6,38.8,0.8228
811.0,2.3,606.0,1417.0,1248.0,656.0,19.0,38.9,0.8468
803.0,2.0,586.0,1442.0,1232.0,573.0,18.0,40.9,0.8394
882.0,4.1,715.0,1246.0,1367.0,780.0,15.5,48.6,0.8505
963.0,6.5,836.0,1085.0,1429.0,920.0,16.0,47.9,0.8659
1413.0,24.8,1424.0,739.0,2102.0,1544.0,17.0,46.0,0.883
1485.0,34.4,1650.0,632.0,2337.0,1789.0,19.0,41.6,0.9039
1354.0,24.5,1418.0,749.0,2043.0,1629.0,21.8,35.0,0.9002
1074.0,9.0,939.0,1071.0,1513.0,997.0,25.6,28.0,0.9088
1022.0,8.4,914.0,1132.0,1446.0,847.0,26.4,23.1,0.7853
1100.0,11.5,1034.0,995.0,1586.0,958.0,27.1,24.2,0.856
1073.0,12.1,1052.0,1009.0,1574.0,854.0,27.5,20.9,0.7565
1049.0,10.1,983.0,1071.0,1515.0,782.0,29.5,19.7,0.8015
1086.0,11.9,1048.0,1016.0,1580.0,888.0,30.6,18.6,0.8014
1059.0,11.3,1027.0,1066.0,1521.0,764.0,31.3,15.8,0.7106
1244.0,20.2,1301.0,842.0,1801.0,1170.0,29.4,21.0,0.8452
1320.0,24.8,1423.0,767.0,1986.0,1385.0,27.0,23.5,0.8256
1236.0,20.3,1304.0,822.0,1868.0,1237.0,25.8,26.7,0.8758
1136.0,16.2,1187.0,904.0,1735.0,1127.0,23.7,28.4,0.8225
1110.0,13.3,1093.0,961.0,1661.0,1091.0,21.3,33.0,0.8284
1026.0,10.3,990.0,1032.0,1553.0,972.0,20.5,35.3,0.8435
1038.0,9.6,961.0,1026.0,1530.0,949.0,19.4,38.1,0.8511
975.0,7.8,892.0,1015.0,1480.0,890.0,19.4,40.7,0.9045
908.0,6.1,814.0,1089.0,1403.0,763.0,17.8,44.9,0.903
896.0,6.2,820.0,1074.0,1439.0,833.0,16.6,49.7,0.9295
810.0,3.8,697.0,1221.0,1321.0,675.0,16.5,48.6,0.9028
789.0,2.8,638.0,1305.0,1309.0,672.0,15.2,53.6,0.919
814.0,3.4,678.0,1276.0,1339.0,626.0,15.5,51.7,0.9019
958.0,8.2,907.0,992.0,1536.0,882.0,14.9,54.8,0.9247
1213.0,19.2,1274.0,762.0,1914.0,1264.0,16.3,51.3,0.9416
1221.0,22.6,1367.0,722.0,2008.0,1330.0,18.4,45.7,0.9559
1245.0,19.4,1281.0,774.0,1952.0,1324.0,20.8,43.6,1.0614
1050.0,9.6,963.0,998.0,1609.0,901.0,24.3,35.1,1.0477
1048.0,9.8,969.0,1012.0,1600.0,852.0,26.4,29.3,0.9889
1141.0,14.4,1128.0,902.0,1738.0,1009.0,28.3,25.0,0.9495
1052.0,12.1,1053.0,949.0,1641.0,831.0,28.9,23.7,0.9285
1152.0,13.5,1099.0,908.0,1706.0,954.0,28.5,25.8,0.9931
1026.0,12.3,1061.0,982.0,1564.0,814.0,29.6,18.9,0.7692
1039.0,12.2,1055.0,966.0,1590.0,845.0,28.0,23.2,0.8613
1148.0,12.5,1067.0,887.0,1790.0,956.0,23.6,41.0,1.1786
1176.0,13.9,1114.0,843.0,1805.0,1102.0,21.5,48.1,1.2148
1100.0,11.4,1028.0,900.0,1710.0,994.0,22.1,44.1,1.1573
1081.0,10.4,992.0,959.0,1680.0,935.0,20.2,47.2,1.1043
976.0,7.0,858.0,1070.0,1547.0,839.0,20.0,47.6,1.103
979.0,7.0,857.0,1082.0,1546.0,797.0,19.8,46.8,1.0697
1092.0,11.3,1024.0,937.0,1706.0,968.0,19.6,47.0,1.0606
1044.0,9.2,946.0,1009.0,1594.0,886.0,19.3,46.3,1.0279
940.0,6.8,849.0,1091.0,1509.0,764.0,18.5,48.7,1.0286
892.0,5.1,767.0,1180.0,1466.0,657.0,18.0,51.4,1.0504
838.0,3.4,675.0,1302.0,1390.0,540.0,17.9,50.8,1.0355
853.0,4.3,727.0,1179.0,1417.0,621.0,17.7,51.9,1.0379
738.0,1.5,545.0,1562.0,1266.0,450.0,17.7,49.7,0.997
762.0,2.0,581.0,1588.0,1277.0,434.0,17.9,46.1,0.9383
841.0,4.0,713.0,1293.0,1356.0,559.0,18.4,43.9,0.9192
843.0,4.0,712.0,1303.0,1343.0,548.0,18.9,42.1,0.9081
841.0,4.0,713.0,1326.0,1330.0,525.0,19.2,39.7,0.8728
862.0,4.2,721.0,1329.0,1335.0,522.0,20.8,36.6,0.8878
869.0,4.5,740.0,1296.0,1366.0,535.0,21.3,35.8,0.8975
894.0,6.0,810.0,1204.0,1421.0,585.0,21.8,34.9,0.9004
844.0,4.8,755.0,1284.0,1350.0,521.0,22.8,31.4,0.8615
823.0,3.8,699.0,1382.0,1311.0,493.0,22.9,31.3,0.862
843.0,4.2,719.0,1353.0,1330.0,501.0,22.9,30.7,0.8461
865.0,5.1,767.0,1279.0,1369.0,559.0,23.8,29.2,0.8499
873.0,5.6,792.0,1247.0,1397.0,589.0,23.2,30.2,0.8442
899.0,5.8,803.0,1221.0,1426.0,596.0,22.4,31.3,0.8365
921.0,7.0,856.0,1163.0,1437.0,681.0,21.7,32.2,0.825
937.0,7.9,893.0,1106.0,1463.0,783.0,20.8,33.2,0.8061
901.0,6.5,834.0,1177.0,1408.0,738.0,20.1,35.0,0.8149
955.0,8.5,918.0,1056.0,1511.0,762.0,19.5,36.9,0.8258
1065.0,13.7,1106.0,897.0,1707.0,929.0,19.0,38.2,0.8327
1035.0,13.8,1110.0,907.0,1652.0,1044.0,18.5,39.4,0.832
956.0,9.1,945.0,1030.0,1509.0,892.0,17.8,41.7,0.844
869.0,6.5,835.0,1078.0,1437.0,807.0,19.2,42.0,0.9248
831.0,6.2,822.0,1085.0,1418.0,710.0,17.8,44.8,0.9048
815.0,5.2,774.0,1113.0,1374.0,712.0,17.0,47.7,0.9185
781.0,3.1,661.0,1271.0,1299.0,568.0,17.2,47.2,0.9178
781.0,2.9,645.0,1295.0,1320.0,575.0,17.3,47.6,0.9295
828.0,3.6,690.0,1263.0,1353.0,658.0,18.6,44.2,0.9385
803.0,2.7,635.0,1417.0,1272.0,537.0,20.2,37.8,0.8837
811.0,3.0,653.0,1411.0,1269.0,486.0,22.0,31.9,0.8335
844.0,3.7,696.0,1353.0,1292.0,507.0,25.5,25.9,0.8339
833.0,3.8,697.0,1361.0,1294.0,496.0,27.5,22.8,0.8249
832.0,4.2,719.0,1318.0,1299.0,502.0,28.7,20.7,0.8024
771.0,2.6,626.0,1502.0,1210.0,430.0,29.1,19.6,0.7771
783.0,2.8,637.0,1498.0,1215.0,439.0,29.8,18.4,0.7595
815.0,4.2,723.0,1378.0,1256.0,471.0,32.0,15.0,0.7028
912.0,6.2,819.0,1224.0,1368.0,589.0,30.3,17.0,0.7232
894.0,5.2,774.0,1239.0,1339.0,598.0,31.7,16.2,0.745
963.0,7.7,885.0,1102.0,1447.0,695.0,29.2,19.6,0.7817
990.0,8.8,930.0,1045.0,1506.0,739.0,27.4,23.8,0.858
1025.0,10.1,980.0,986.0,1591.0,891.0,25.0,26.9,0.8408
997.0,9.8,971.0,993.0,1573.0,930.0,23.6,30.1,0.8663
976.0,8.4,916.0,1044.0,1515.0,880.0,22.3,33.6,0.8913
878.0,5.4,784.0,1181.0,1407.0,610.0,21.4,36.9,0.9271
836.0,4.3,728.0,1213.0,1353.0,518.0,20.6,39.9,0.9597
855.0,4.8,751.0,1107.0,1418.0,664.0,19.7,43.2,0.9812
759.0,2.1,588.0,1323.0,1286.0,515.0,19.7,42.4,0.9636
738.0,1.4,539.0,1421.0,1257.0,477.0,18.9,45.0,0.9703
736.0,1.3,528.0,1451.0,1254.0,477.0,18.7,45.4,0.9694
765.0,2.3,609.0,1304.0,1319.0,581.0,16.4,52.4,0.9709
909.0,6.5,834.0,1031.0,1527.0,763.0,16.6,52.1,0.9785
1108.0,14.2,1123.0,804.0,1801.0,1111.0,17.4,50.9,1.0017
1252.0,22.7,1369.0,681.0,2120.0,1390.0,19.3,46.0,1.0185
1175.0,16.3,1188.0,790.0,1901.0,1251.0,20.9,43.6,1.0683
1111.0,14.1,1120.0,839.0,1790.0,1141.0,25.6,33.3,1.0773
1044.0,12.6,1069.0,889.0,1683.0,942.0,28.9,26.0,1.0188
1018.0,13.1,1088.0,909.0,1677.0,795.0,30.3,22.8,0.9695
1060.0,14.2,1122.0,863.0,1721.0,836.0,30.9,24.4,1.0724
1071.0,13.8,1110.0,864.0,1733.0,847.0,30.5,26.2,1.1278
1006.0,12.1,1054.0,921.0,1636.0,769.0,30.7,23.4,1.015
1104.0,15.7,1171.0,827.0,1803.0,968.0,28.1,29.8,1.1132
1196.0,21.4,1336.0,739.0,1971.0,1157.0,26.9,32.2,1.1267
1243.0,25.0,1429.0,687.0,2093.0,1367.0,26.0,34.6,1.1485
1124.0,16.6,1199.0,794.0,1858.0,1101.0,24.5,37.7,1.1454
1020.0,10.7,1003.0,904.0,1716.0,916.0,21.7,46.9,1.2044
1035.0,7.5,878.0,977.0,1694.0,825.0,19.3,68.8,1.519
986.0,5.3,781.0,1063.0,1633.0,693.0,17.6,81.6,1.6296
1017.0,6.5,834.0,986.0,1676.0,734.0,17.8,80.3,1.6212
922.0,4.7,750.0,1085.0,1585.0,685.0,18.6,75.7,1.6074
830.0,2.9,644.0,1235.0,1487.0,524.0,19.6,68.4,1.5443
805.0,2.0,583.0,1339.0,1494.0,527.0,18.0,76.4,1.5608
760.0,1.1,505.0,1527.0,1413.0,452.0,17.3,77.2,1.5104
783.0,1.3,529.0,1437.0,1435.0,466.0,16.5,82.3,1.5318
854.0,2.4,613.0,1272.0,1515.0,565.0,16.8,81.3,1.5452
985.0,6.1,816.0,987.0,1677.0,799.0,17.3,78.6,1.5412
1225.0,12.5,1067.0,760.0,1922.0,1102.0,16.9,80.9,1.5472
1313.0,19.5,1283.0,671.0,2180.0,1299.0,17.1,79.8,1.542
1199.0,15.2,1156.0,758.0,1958.0,1272.0,18.5,70.3,1.4826
1182.0,12.0,1051.0,829.0,1870.0,1206.0,19.6,66.7,1.5023
1173.0,12.4,1063.0,814.0,1905.0,1218.0,20.4,63.1,1.4969
1259.0,15.9,1178.0,722.0,2060.0,1367.0,21.6,61.8,1.5775
1263.0,15.7,1171.0,759.0,2029.0,1290.0,24.0,49.3,1.4509
1156.0,13.5,1100.0,800.0,1884.0,1175.0,25.7,43.8,1.4262
1167.0,12.4,1065.0,808.0,1886.0,1139.0,24.6,47.5,1.4487
1278.0,17.1,1213.0,733.0,2041.0,1293.0,24.8,47.4,1.4628
1342.0,22.0,1351.0,657.0,2201.0,1419.0,23.7,50.5,1.4636
1353.0,19.9,1292.0,683.0,2178.0,1326.0,23.0,53.8,1.4968
1501.0,27.9,1501.0,588.0,2486.0,1517.0,21.5,65.8,1.6688
1355.0,19.7,1289.0,678.0,2158.0,1391.0,21.0,66.9,1.6436
1230.0,15.7,1169.0,737.0,2020.0,1275.0,20.6,68.1,1.6329
1148.0,12.0,1048.0,822.0,1883.0,1168.0,20.5,66.9,1.5914
1171.0,13.1,1088.0,822.0,1889.0,1132.0,20.2,65.2,1.5251
1021.0,9.2,949.0,927.0,1764.0,977.0,19.5,68.0,1.5269
964.0,7.5,877.0,958.0,1692.0,942.0,19.9,66.4,1.5203
887.0,4.9,758.0,1094.0,1622.0,804.0,19.1,69.0,1.5043
885.0,5.2,773.0,1051.0,1641.0,805.0,18.5,70.7,1.4962
830.0,3.2,662.0,1217.0,1556.0,704.0,18.9,67.8,1.4689
792.0,2.4,611.0,1280.0,1529.0,657.0,20.0,63.7,1.4742
813.0,2.8,639.0,1267.0,1538.0,655.0,19.8,64.7,1.4769
890.0,3.9,703.0,1145.0,1601.0,751.0,19.7,65.3,1.4843
984.0,6.9,854.0,964.0,1751.0,885.0,20.8,62.0,1.5002
1043.0,8.5,920.0,925.0,1777.0,955.0,22.2,56.6,1.4973
1054.0,8.9,936.0,915.0,1791.0,962.0,24.3,49.0,1.4724
1063.0,8.8,930.0,925.0,1749.0,957.0,25.0,46.5,1.4492
978.0,7.4,873.0,1003.0,1669.0,788.0,28.9,34.8,1.3603
887.0,4.7,748.0,1141.0,1560.0,596.0,29.6,33.4,1.3581
887.0,4.8,754.0,1164.0,1523.0,560.0,30.9,30.7,1.3493
977.0,6.8,850.0,1035.0,1645.0,701.0,31.8,31.0,1.4286
1043.0,8.9,934.0,929.0,1707.0,811.0,31.4,31.2,1.4127
1010.0,8.1,902.0,966.0,1676.0,724.0,28.9,35.7,1.3985
1094.0,10.5,996.0,876.0,1807.0,864.0,27.2,42.5,1.5135
1223.0,14.8,1142.0,778.0,1965.0,1084.0,26.2,46.4,1.5573
1109.0,11.8,1042.0,834.0,1888.0,998.0,24.5,51.0,1.5454
1026.0,8.7,927.0,915.0,1781.0,878.0,22.8,56.1,1.5353
1036.0,8.7,928.0,914.0,1787.0,909.0,21.9,60.9,1.5799
963.0,6.9,853.0,995.0,1732.0,789.0,21.7,61.0,1.5617
996.0,7.3,868.0,957.0,1741.0,857.0,20.8,64.8,1.568
999.0,6.9,853.0,951.0,1756.0,885.0,20.3,70.9,1.6699
893.0,4.6,741.0,1056.0,1664.0,743.0,18.9,79.0,1.704
730.0,1.3,530.0,1517.0,1362.0,445.0,18.1,64.6,1.3276
753.0,1.7,562.0,1420.0,1414.0,454.0,18.6,64.5,1.3655
825.0,3.2,663.0,1203.0,1504.0,610.0,17.6,67.4,1.346
1012.0,10.1,982.0,882.0,1796.0,1024.0,17.6,67.6,1.3479
1221.0,19.9,1293.0,688.0,2144.0,1316.0,19.0,61.7,1.3393
1215.0,20.2,1303.0,694.0,2180.0,1358.0,20.0,57.4,1.3268
1234.0,20.8,1318.0,714.0,2108.0,2202.0,22.6,45.9,1.2418
1138.0,15.1,1152.0,798.0,1877.0,1947.0,27.3,34.3,1.2284
987.0,10.9,1009.0,914.0,1697.0,1227.0,27.4,31.0,1.1184
980.0,11.1,1019.0,921.0,1720.0,950.0,26.2,33.6,1.1244
966.0,12.1,1054.0,885.0,1742.0,917.0,26.8,32.4,1.1263
905.0,8.6,923.0,1025.0,1582.0,707.0,28.7,27.7,1.071
903.0,9.7,968.0,992.0,1565.0,740.0,28.7,25.0,0.9684
914.0,11.0,1014.0,988.0,1597.0,775.0,29.1,22.3,0.8811
1050.0,16.6,1199.0,849.0,1781.0,1035.0,29.0,24.5,0.9655
1043.0,14.7,1139.0,876.0,1756.0,1001.0,27.2,28.3,1.0016
1125.0,19.5,1283.0,792.0,1899.0,1101.0,25.3,30.0,0.952
1058.0,14.5,1134.0,855.0,1797.0,1034.0,24.1,34.8,1.0333
951.0,7.8,892.0,1015.0,1611.0,786.0,23.0,43.1,1.1993
944.0,7.8,891.0,1016.0,1593.0,844.0,22.1,43.9,1.1521
959.0,7.8,892.0,996.0,1616.0,866.0,21.0,48.1,1.178
974.0,8.5,919.0,976.0,1638.0,909.0,20.6,49.2,1.1754
880.0,5.7,799.0,1097.0,1533.0,724.0,21.2,47.6,1.1799
853.0,4.5,740.0,1146.0,1526.0,715.0,21.0,50.1,1.2338
912.0,5.6,795.0,1042.0,1564.0,827.0,20.1,53.1,1.2342
863.0,4.6,745.0,1098.0,1496.0,786.0,19.0,54.0,1.1745
729.0,1.2,520.0,1570.0,1318.0,445.0,19.2,51.1,1.124
830.0,3.4,674.0,1246.0,1459.0,607.0,19.2,53.1,1.1662
1198.0,17.0,1209.0,779.0,2058.0,1213.0,20.6,49.0,1.1748
971.0,10.0,977.0,921.0,1667.0,910.0,21.8,41.9,1.077
885.0,6.0,812.0,1100.0,1495.0,675.0,22.8,37.6,1.0315
862.0,5.7,798.0,1148.0,1456.0,582.0,24.8,31.3,0.9646
892.0,6.9,853.0,1080.0,1509.0,666.0,26.0,29.4,0.976
933.0,9.5,960.0,994.0,1577.0,726.0,27.0,27.8,0.9731
975.0,11.1,1017.0,930.0,1668.0,801.0,27.0,29.3,1.0277
927.0,8.1,905.0,1016.0,1554.0,711.0,27.0,29.6,1.0419
993.0,10.2,985.0,950.0,1680.0,790.0,25.8,32.6,1.072
1053.0,13.3,1093.0,873.0,1749.0,924.0,26.2,32.6,1.0892
1116.0,16.6,1198.0,811.0,1863.0,1045.0,28.3,27.5,1.0418
1097.0,16.9,1206.0,813.0,1867.0,1088.0,26.5,29.7,1.0123
1116.0,17.5,1226.0,792.0,1938.0,1038.0,25.7,31.8,1.0317
1057.0,13.1,1087.0,871.0,1769.0,981.0,24.4,35.2,1.0632
973.0,9.2,949.0,987.0,1615.0,820.0,23.5,36.9,1.0518
1016.0,10.0,977.0,951.0,1652.0,948.0,22.4,41.0,1.1006
1120.0,13.1,1088.0,849.0,1785.0,1067.0,21.7,44.7,1.1451
1076.0,12.9,1080.0,846.0,1787.0,1070.0,21.1,48.1,1.1864
937.0,7.8,890.0,970.0,1625.0,877.0,20.7,50.0,1.203
980.0,9.2,948.0,888.0,1702.0,1028.0,19.8,53.1,1.2093
937.0,6.9,853.0,962.0,1604.0,969.0,19.8,53.6,1.2214
852.0,4.5,739.0,1095.0,1525.0,837.0,19.6,54.8,1.236
858.0,4.9,757.0,1066.0,1542.0,904.0,19.3,57.3,1.265
963.0,7.9,894.0,942.0,1702.0,1065.0,19.7,58.4,1.3254
966.0,7.4,874.0,969.0,1682.0,999.0,19.8,59.4,1.3554
983.0,8.0,901.0,954.0,1691.0,986.0,20.9,54.8,1.3387
990.0,7.6,881.0,985.0,1685.0,874.0,22.4,47.9,1.2817
891.0,5.3,780.0,1110.0,1543.0,689.0,24.1,41.3,1.2202
883.0,5.3,778.0,1130.0,1545.0,608.0,25.9,36.9,1.2133
914.0,8.0,900.0,1010.0,1596.0,706.0,30.7,26.0,1.1287
896.0,8.4,917.0,1017.0,1577.0,704.0,30.3,25.2,1.0652
841.0,6.0,811.0,1135.0,1463.0,609.0,30.1,25.4,1.0641
926.0,7.3,868.0,1048.0,1599.0,687.0,27.6,35.1,1.2764
1133.0,10.2,984.0,838.0,1897.0,976.0,26.6,47.6,1.6315
1042.0,9.0,939.0,917.0,1744.0,860.0,30.4,31.3,1.3331
1124.0,14.0,1118.0,793.0,1915.0,1021.0,27.8,35.0,1.282
1157.0,16.1,1183.0,738.0,1970.0,1079.0,26.6,37.9,1.2994
989.0,8.2,906.0,954.0,1681.0,826.0,23.4,44.4,1.2646
841.0,3.8,699.0,1123.0,1508.0,558.0,23.0,51.1,1.4175
916.0,5.6,791.0,1007.0,1588.0,679.0,22.1,53.5,1.4087
1008.0,8.0,900.0,907.0,1681.0,850.0,21.6,53.6,1.3674
895.0,5.6,792.0,975.0,1574.0,733.0,21.9,52.7,1.365
810.0,3.8,702.0,1093.0,1529.0,612.0,21.3,54.9,1.3707
968.0,6.6,840.0,891.0,1727.0,788.0,17.5,79.1,1.5709
922.0,7.0,859.0,871.0,1739.0,728.0,17.6,78.6,1.5722
892.0,5.2,773.0,926.0,1660.0,724.0,17.1,81.8,1.5816
806.0,2.4,615.0,1172.0,1525.0,543.0,16.6,80.2,1.5002
827.0,3.1,659.0,1115.0,1552.0,616.0,16.8,77.4,1.4739
881.0,5.2,776.0,1037.0,1623.0,677.0,18.3,66.5,1.381
877.0,5.9,808.0,1011.0,1614.0,723.0,20.4,55.8,1.3196
784.0,2.8,638.0,1314.0,1412.0,529.0,21.6,45.3,1.1533
806.0,3.4,675.0,1270.0,1414.0,528.0,23.1,39.4,1.0983
775.0,3.0,653.0,1349.0,1365.0,491.0,25.4,31.6,1.0058
773.0,3.4,676.0,1331.0,1374.0,489.0,26.6,29.0,0.9928
734.0,2.3,603.0,1471.0,1303.0,450.0,25.9,28.8,0.9475
757.0,2.7,635.0,1445.0,1345.0,451.0,27.0,28.0,0.981
817.0,3.6,688.0,1299.0,1435.0,512.0,23.6,38.1,1.0917
815.0,4.2,720.0,1225.0,1418.0,525.0,25.9,32.0,1.0529
844.0,4.9,757.0,1186.0,1445.0,556.0,26.3,31.5,1.0643
880.0,5.9,807.0,1123.0,1510.0,599.0,23.9,36.8,1.0774
906.0,6.6,838.0,1084.0,1547.0,694.0,23.7,36.8,1.0609
904.0,7.6,882.0,1048.0,1549.0,744.0,22.5,37.8,1.0157
877.0,7.0,858.0,1080.0,1535.0,724.0,21.8,39.2,1.0115
918.0,7.5,879.0,1030.0,1569.0,804.0,20.9,42.6,1.04
930.0,8.4,914.0,991.0,1631.0,862.0,20.0,45.6,1.0555
870.0,7.0,858.0,1061.0,1557.0,811.0,19.3,47.9,1.059
793.0,3.9,703.0,1222.0,1439.0,627.0,18.7,49.0,1.0462
760.0,2.6,626.0,1263.0,1386.0,575.0,17.8,54.1,1.0938
733.0,2.0,588.0,1281.0,1394.0,589.0,18.6,52.7,1.1206
726.0,2.1,591.0,1263.0,1386.0,579.0,17.2,57.9,1.127
732.0,2.4,613.0,1273.0,1413.0,605.0,18.2,54.1,1.1155
933.0,9.6,962.0,867.0,1705.0,974.0,17.3,57.6,1.1289
1061.0,15.4,1162.0,777.0,1898.0,1132.0,19.9,49.4,1.1354
1201.0,25.0,1428.0,664.0,2249.0,1378.0,21.7,44.2,1.1321
1065.0,15.1,1151.0,801.0,1894.0,1160.0,23.5,40.0,1.1386
1075.0,17.4,1222.0,774.0,1943.0,1213.0,28.4,29.7,1.1345
998.0,14.1,1119.0,832.0,1780.0,1057.0,31.6,24.1,1.0994
922.0,11.8,1042.0,887.0,1744.0,832.0,31.3,24.1,1.0816
1023.0,14.9,1147.0,829.0,1842.0,983.0,34.4,20.4,1.0857
1039.0,16.0,1180.0,833.0,1815.0,1047.0,33.7,21.3,1.0988
1054.0,16.5,1195.0,815.0,1848.0,1078.0,35.9,18.9,1.0999
1022.0,15.2,1155.0,871.0,1840.0,979.0,34.3,19.4,1.0279
1082.0,18.9,1266.0,788.0,1910.0,1139.0,33.5,19.9,1.0112
1056.0,19.0,1268.0,786.0,1896.0,1111.0,30.5,24.2,1.0386
1243.0,28.9,1524.0,647.0,2281.0,1470.0,30.3,26.2,1.1161
1029.0,13.4,1097.0,825.0,1827.0,980.0,27.0,36.7,1.2898
1004.0,10.9,1011.0,867.0,1754.0,893.0,24.6,41.9,1.2752
979.0,8.9,937.0,919.0,1683.0,858.0,23.3,44.5,1.2566
972.0,8.5,919.0,934.0,1668.0,904.0,22.4,46.9,1.2544
942.0,6.7,846.0,980.0,1615.0,905.0,21.7,50.8,1.3019
825.0,4.2,720.0,1129.0,1511.0,678.0,21.0,51.9,1.2794
780.0,2.5,621.0,1277.0,1452.0,586.0,20.5,54.3,1.2926
746.0,1.7,565.0,1369.0,1423.0,608.0,20.9,52.5,1.2852
734.0,1.4,538.0,1449.0,1400.0,514.0,21.0,53.1,1.3031
785.0,2.8,640.0,1265.0,1467.0,588.0,19.6,57.1,1.2851
946.0,8.8,931.0,917.0,1745.0,884.0,18.2,62.3,1.2903
1201.0,19.4,1279.0,683.0,2144.0,1338.0,19.5,57.7,1.2966
1377.0,36.1,1688.0,525.0,2746.0,1708.0,21.6,51.7,1.313
1346.0,27.1,1481.0,602.0,2367.0,1681.0,23.9,44.4,1.3029
1230.0,19.0,1268.0,698.0,2049.0,1509.0,28.1,35.2,1.312
1160.0,16.9,1208.0,728.0,1925.0,1330.0,31.4,28.6,1.298
1146.0,15.7,1171.0,761.0,1902.0,1138.0,33.7,25.5,1.3095
1078.0,14.1,1121.0,818.0,1806.0,963.0,35.9,20.8,1.2103
1111.0,16.5,1194.0,794.0,1875.0,1015.0,37.5,18.1,1.1529
1083.0,14.8,1141.0,825.0,1793.0,1008.0,37.7,17.7,1.1383
1056.0,13.0,1083.0,865.0,1723.0,898.0,37.8,17.4,1.1219
1220.0,21.4,1334.0,695.0,2066.0,1215.0,36.6,20.6,1.2445
1268.0,23.6,1393.0,650.0,2144.0,1334.0,32.5,26.0,1.2502
1256.0,25.0,1430.0,660.0,2151.0,1380.0,30.8,27.2,1.1832
1213.0,21.6,1341.0,683.0,2090.0,1601.0,28.8,30.2,1.1761
1145.0,15.7,1170.0,751.0,1894.0,1376.0,26.7,35.4,1.2233
1050.0,10.9,1011.0,836.0,1739.0,1161.0,25.3,40.7,1.291
972.0,8.1,902.0,933.0,1647.0,878.0,24.9,41.2,1.2809
1020.0,10.2,984.0,853.0,1753.0,1031.0,23.7,45.1,1.3033
934.0,7.5,878.0,940.0,1644.0,847.0,22.5,49.0,1.3151
914.0,5.8,801.0,965.0,1609.0,908.0,22.3,50.6,1.3486
824.0,3.8,698.0,1107.0,1517.0,733.0,22.0,50.5,1.3199
817.0,3.3,672.0,1113.0,1501.0,751.0,20.8,54.4,1.3229
833.0,4.0,708.0,1084.0,1525.0,799.0,20.3,56.0,1.3204
935.0,8.1,905.0,899.0,1675.0,954.0,20.5,54.8,1.3073
1297.0,22.3,1359.0,630.0,2214.0,1425.0,21.7,50.6,1.2981
1496.0,36.9,1705.0,507.0,2691.0,2147.0,23.4,46.1,1.3091
1201.0,17.5,1224.0,701.0,1987.0,1532.0,25.1,43.0,1.3488
1267.0,19.3,1276.0,676.0,2059.0,1570.0,30.1,32.8,1.3795
1224.0,17.6,1228.0,711.0,1972.0,1380.0,34.7,25.9,1.4069
1247.0,18.6,1257.0,701.0,2000.0,1337.0,37.2,23.2,1.4478
